PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2024-0108,3/24/2024,FOB - Field Operations Bureau,6th District,D.I.U.,Property,AWP Working,Between 7am - 7pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,4,1,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1 | L1,None detected,No | Yes | No | Yes,Black | Black | White | White,Male | Male | Male | Male,34 | 34 | 23 | 23,8 | 8 | 1 | 1,*Direct Contact,Male,Black,35,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2020-0091,3/19/2020,FOB - Field Operations Bureau,3rd District,Task Force,A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,White,Male,36,7,11 feet to 14 feet,Male,Black,13,Small,5'4'' to 5'6'',No,Yes,Yes,,Flight from an Officer,No
FTN2017-0543,10/17/2017,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,None detected,Yes | Yes,Black | White,Male | Male,38 | 40,19 | 25,1 feet to 3 feet,Male,Black,16,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No | No
FTN2018-0411,11/6/2018,FOB - Field Operations Bureau,7th District,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,1,1,Canine (No Bite),L2,Unknown,Yes,White,Male,50,32,11 feet to 14 feet,Male,Black,41,Small,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No
FTN2016-0519,10/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,CEW Exhibited/Laser,L1,Unknown,Yes,Black,Female,47,30,11 feet to 14 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,No,,Refusal of Verbal Commands,No
FTN2023-0494,12/12/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | CEW,L2 | L4,Unknown,Yes | Yes,White | White,Male | Male,29 | 50,1 | 1,1 feet to 3 feet,Male,Hispanic,27,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2018-0312,8/22/2018,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,35,12,4 feet to 6 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2018-0367,10/3/2018,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,4,1,CEW Deployment | Hands | Hands | Hands,L2 | L1 | L1 | L1,None detected,Limited | Yes | No | No,White | White | White | Hispanic,Male | Male | Male | Male,35 | 44 | 26 | 26,12 | 10 | 8 | 7,1 feet to 3 feet,Male,Black,52,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | Yes | No | No
FTN2018-0021,1/18/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Not Specified,Male,29,10,11 feet to 14 feet,Male,Black,28,Small,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2018-0359,9/29/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Hands | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,None detected,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,35 | 48 | 35,17 | 7 | 6,0 feet to 1 feet,Male,Black,21,XLarge,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2016-0048,1/23/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Force (Take Down),L2,None detected,Yes,White,Male,37,12,0 feet to 1 feet,Male,Black,27,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,Yes
FTN2019-0406,12/31/2019,FOB - Field Operations Bureau,3rd District,D.I.U.,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,40,12,7 feet to 10 feet,Male,Black,34,Small,5'0'' to 5'3'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2019-0087,3/4/2019,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Takedown (no injury),L1,Unknown,Yes,Asian/Pacific Islander,Male,25,8,0 feet to 1 feet,Male,Black,22,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0391,12/18/2019,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | Hands,L2 | L1,Unknown,Limited | No,White | White,Male | Female,45 | 35,27 | 9,4 feet to 6 feet,Male,Black,43,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2021-0144,5/10/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,1,1,CEW Deployment,L2,Mentally unstable,Yes,White,Male,41,20,11 feet to 14 feet,Male,White,20,Medium,5'10'' to 6'0'',Yes,Yes,No,,Weapon Exhibited,No
FTN2017-0390,8/1/2017,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Other,L1,None detected,Yes,Black,Female,37,11,15 feet to 18 feet,Female,Black,,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2017-0363,7/15/2017,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,CEW Deployment,L2,Unknown,Yes,White,Male,43,27,0 feet to 1 feet,Male,Black,32,Small,5'7'' to 5'9'',No,Yes,Yes,,Refusal of Verbal Commands,No
FTN2022-0009,1/9/2022,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,31,6,1 feet to 3 feet,Male,Black,34,Large,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2016-0218,4/20/2016,FOB - Field Operations Bureau,6th District,A Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Hands,L1,Mentally unstable,Yes,White,Male,54,21,0 feet to 1 feet,Male,Black,14,Medium,5'7'' to 5'9'',No,Yes,No,,Other,No
FTN2017-0530,10/10/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1,Hands | CEW,L1 | L4,Unknown,No | No,Hispanic | Hispanic,Female | Female,38 | 38,8 | 8,,Male,White,43,,,No,No,Yes,,Battery on Police Officer,No | No
FTN2019-0277,8/31/2019,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Hands,L1,Mentally unstable,Yes,White,Male,31,8,1 feet to 3 feet,Female,Asian,,Medium,5'0'' to 5'3'',No,Yes,No,,Refusal of Verbal Commands,No
FTN2019-0281,9/2/2019,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | Takedown (no injury),L2 | L1,Mentally unstable,No | No,Black | Asian/Pacific Islander,Female | Male,31 | 24,7 | 6,0 feet to 1 feet,Male,Black,27,Medium,5'4'' to 5'6'',No,No,No,,Refusal of Verbal Commands,No | No
FTN2019-0017,1/12/2019,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,CEW Deployment,L2,None detected,Yes,White,Male,32,10,4 feet to 6 feet,Male,Black,36,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2019-0047,2/6/2019,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,CEW Deployment | Baton/PR-24 (Strike),L2 | L3,Unknown,Yes | No,White | White,Male | Male,59 | 59,33 | 33,1 feet to 3 feet,Male,Black,64,Large,5'10'' to 6'0'',No,No,Yes,,Battery on Police Officer,No | No
FTN2018-0096,3/14/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,3,Firearm (Exhibited),L1,Unknown | Unknown | Unknown,Yes,White,Male,30,9,15 feet to 18 feet | 15 feet to 18 feet | 15 feet to 18 feet,Female | Female | Female,Black | Black | Black,17 | 16 | 15,Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,No | No | No,Yes | Yes | Yes,,Flight from an Officer,No
FTN2021-0368,11/21/2021,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Asian/Pacific Islander,Male,29,8,1 feet to 3 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2021-0054,2/20/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Other,2,1,Takedown (no injury) | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,Black | Black,Male | Female,38 | 32,16 | 8,1 feet to 3 feet,Male,Black,26,Medium,5'10'' to 6'0'',No,Yes,No,,Refusal of Verbal Commands,No | No
FTN2019-0387,12/16/2019,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Alchohol,Yes,White,Male,45,19,0 feet to 1 feet,Male,White,25,Medium,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2019-0068,2/22/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Mentally unstable,Yes,White,Male,34,8,0 feet to 1 feet,Male,White,59,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2017-0163,3/31/2017,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,Hispanic,Female,38,8,11 feet to 14 feet,Male,Black,59,Small,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0453,12/11/2018,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,3,1,Takedown (w/injury) | Hands | Takedown (w/injury),L2 | L1 | L2,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,45 | 47 | 47,15 | 15 | 15,0 feet to 1 feet,Female,Black,35,Medium,5'4'' to 5'6'',Yes,No,Yes,,Escape,No | No | No
FTN2024-0075,2/20/2024,FOB - Field Operations Bureau,6th District,Unknown,Investigations,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,3,1,Hands | - Hands (with injury) | - Hands (with injury),L1 | L2 | L2,Unknown,Yes | Yes | Yes,Black | White | Asian/Pacific Islander,Male | Male | Male,35 | 39 | 32,11 | 8 | 8,0 feet to 1 feet,Male,Black,56,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2017-0603,11/29/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,29,8,11 feet to 14 feet,Male,Black,24,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2019-0171,5/9/2019,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,5,1,Hands | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes | Yes | Yes,Black | Black | White | Black | Black,Female | Male | Male | Female | Male,45 | 31 | 35 | 27 | 23,24 | 8 | 7 | 7 | 6,0 feet to 1 feet,Male,Black,46,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | Yes | No | No
FTN2019-0023,1/18/2019,FOB - Field Operations Bureau,2nd District,Extended Sick,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,None detected,Yes,Black,Female,30,8,0 feet to 1 feet,Male,Black,51,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2017-0311,6/21/2017,FOB - Field Operations Bureau,3rd District,A Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Light,1,1,CEW Exhibited/Laser,L1,None detected,Yes,White,Male,30,7,4 feet to 6 feet,Male,White,30,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0307,9/30/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Takedown (no injury),L1,Mentally unstable,Yes,Black,Male,30,9,0 feet to 1 feet,Male,Black,26,Medium,6'1'' to 6'3'',No,No,Yes,,Battery on Police Officer,No
FTN2018-0004,1/4/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,30 | 34,11 | 11,0 feet to 1 feet,Male,Black,24,XLarge,6'1'' to 6'3'',No,No,No,,Flight from an Officer,No | No
FTN2019-0104,3/20/2019,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,3,Firearm (Exhibited) | Takedown (no injury) | CEW Deployment,L1 | L1 | L2,Unknown | Unknown | Unknown,Yes | Yes | No,Black | White | White,Female | Male | Male,36 | 34 | 34,19 | 5 | 5,7 feet to 10 feet | 7 feet to 10 feet | 7 feet to 10 feet,Male | Male | Male,Black | Black | Black,41 | 43 | 22,Medium | Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes | Yes,Yes | Yes | Yes,Yes | Yes | Yes,,Flight from an Officer,No | No | No
FTN2018-0147,4/21/2018,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1,Hands,L1,None detected,Yes,White,Male,31,9,1 feet to 3 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No
FTN2020-0346,11/29/2020,FOB - Field Operations Bureau,3rd District,Tactical Section,Admin,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Poor,Rainy Conditions - Medium,1,1,Force (Take Down),L2,Alchohol,Yes,Black,Male,56,35,1 feet to 3 feet,Male,White,36,Small,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2020-0328,11/8/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Hands,L1,Mentally unstable,Yes,White,Male,56,14,1 feet to 3 feet,Male,Black,26,Large,6'1'' to 6'3'',No,Yes,Yes,,Battery on Police Officer,Yes
FTN2021-0299,9/23/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Black,Male,40,15,4 feet to 6 feet,Male,Black,0,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No
FTN2022-0007,1/6/2022,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,6,1,Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | Rifle (Pointed) | CEW Deployment | Rifle (Pointed),L1 | L1 | L1 | L1 | L2 | L1,Unknown Drugs,No | No | No | No | Yes | No,Hispanic | White | White | Hispanic | Hispanic | Black,Male | Male | Female | Male | Male | Male,33 | 38 | 33 | 32 | 32 | 28,12 | 10 | 8 | 8 | 8 | 4,7 feet to 10 feet,Male,Black,38,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Weapon Exhibited,No | No | No | No | No | No
FTN2018-0172,5/5/2018,FOB - Field Operations Bureau,4th District,A Platoon,,Regular Working,,Completed,UOF Complaint of Injury/No Reportable Force Used,Call for Service,Good,Rainy Conditions - Light,1,1,CEW Deployment,L2,Mentally unstable,Limited,Black,Female,37,13,1 feet to 3 feet,Male,Black,0,Medium,5'7'' to 5'9'',Yes,Yes,No,,Other,No
FTN2022-0085,3/3/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,34,9,7 feet to 10 feet,Male,Black,49,Small,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2022-0086,3/7/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Hispanic,Male,34,9,15 feet to 18 feet,Male,Black,35,Medium,5'10'' to 6'0'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2021-0285,9/7/2021,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,4,1,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,White | Black | White | White,Male | Male | Female | Male,46 | 53 | 30 | 27,15 | 0 | 9 | 3,0 feet to 1 feet,Female,Black,33,Small,5'4'' to 5'6'',No,Yes,Yes,,Other,No | No | No | No
FTN2019-0098,3/14/2019,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,34,8,1 feet to 3 feet,Male,White,30,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2017-0371,7/22/2017,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Firearm (Exhibited) | CEW Deployment,L1 | L2,Unknown,Yes | No,White | White,Male | Male,38 | 38,5 | 5,11 feet to 14 feet,Male,Black,29,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Officer w/Weapon,Yes | Yes
FTN2021-0245,8/10/2021,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2,Firearm (Exhibited),L1,,Yes,White,Male,43,9,22 feet to 25 feet | 22 feet to 25 feet,Male | Male,Black | Black,46 | 27,Medium | Medium,,No | No,No | No,No | No,,Weapon Exhibited,No
FTN2021-0370,11/21/2021,FOB - Field Operations Bureau,5th District,A Platoon,Day Watch,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes,White | Black | White,Male | Male | Male,39 | 29 | 26,14 | 5 | 4,1 feet to 3 feet,Male,Asian,37,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Officer w/Weapon,No | No | No
FTN2020-0141,5/9/2020,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,4,1,Force (Escort Tech) | Force (Take Down) | Force (Escort Tech) | Force (Escort Tech),L1 | L2 | L1 | L1,None detected,Yes | Yes | Yes | Yes,White | White | White | Hispanic,Male | Male | Male | Female,47 | 46 | 37 | 38,15 | 10 | 9 | 8,0 feet to 1 feet,Female,Black,35,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,Yes | Yes | No | Yes
FTN2019-0375,5/5/2020,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,Hispanic | Black,Male | Male,32 | 34,9 | 5,0 feet to 1 feet,Male,Black,24,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2020-0374,12/20/2020,FOB - Field Operations Bureau,7th District,,,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Other,L1,Unknown,Yes,Hispanic,Male,37,8,0 feet to 1 feet,Male,Black,26,Medium,5'7'' to 5'9'',No,No,No,,Resisting Lawful Arrest,Yes
FTN2021-0048,2/14/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,No,Not Specified,Male,30,5,7 feet to 10 feet,Male,Black,32,,,No,No,No,,Refusal of Verbal Commands,No
FTN2020-0272,9/16/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,CEW Deployment,L2,Mentally unstable,Yes,Asian/Pacific Islander,Male,29,6,4 feet to 6 feet,Female,White,42,Large,5'7'' to 5'9'',No,Yes,Yes,,Resisting Officer w/Weapon,No
FTN2022-0100,3/19/2022,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Hands,L1,Unknown,No,Black,Male,39,16,0 feet to 1 feet,Male,Black,32,Medium,5'10'' to 6'0'',Yes,No,Yes,,Flight from an Officer,No
FTN2018-0093,3/14/2018,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,3,1,Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury),L2 | L2 | L2,Mentally unstable,Yes | Yes | Yes,Black | Black | White,Male | Male | Male,50 | 48 | 40,32 | 29 | 9,0 feet to 1 feet,Male,Black,46,Small,5'7'' to 5'9'',Yes,Yes,No,,Refusal of Verbal Commands,No | No | No
FTN2019-0358,11/23/2019,FOB - Field Operations Bureau,1st District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,31,9,0 feet to 1 feet,Male,Black,64,Medium,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No
FTN2017-0529,10/9/2017,FOB - Field Operations Bureau,5th District,D.I.U.,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1,Hands,L1,Mentally unstable,Yes,Black,Male,32,16,0 feet to 1 feet,Male,Black,9,Small,< 5'0'',No,Yes,No,,Other,No
FTN2021-0383,12/5/2021,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,5,2,Hands | Takedown (w/injury) | Hands | Hands | Hands,L1 | L2 | L1 | L1 | L1,Unknown Drugs | Unknown Drugs,Yes | Yes | Yes | Yes | No,Hispanic | Hispanic | Black | White | Black,Male | Male | Female | Female | Male,56 | 56 | 52 | 42 | 26,17 | 17 | 15 | 9 | 5,0 feet to 1 feet | 0 feet to 1 feet,Male | Male,Black | Black,18 | 36,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',Yes | Yes,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2018-0383,10/12/2018,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,None detected,Yes | Yes,White | White,Female | Male,47 | 33,12 | 8,0 feet to 1 feet,Male,Black,22,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Refusal of Verbal Commands,No | No
FTN2018-0018,1/15/2018,FOB - Field Operations Bureau,6th District,Task Force,B,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Other | Hands,L1 | L1,None detected,Yes | Yes,White | Black,Male | Male,35 | 37,12 | 12,0 feet to 1 feet,Male,Black,16,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,Yes | No
