PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Subject Count,Officer Count
FTN2020-0314,10/27/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,3,2
FTN2020-0316,10/29/2020,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0317,10/30/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1
FTN2020-0318,10/30/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Other,Poor,Clear Conditions,1,1
FTN2020-0319,10/31/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0320,11/1/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,3
FTN2020-0322,11/3/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Good,Clear Conditions,1,1
FTN2020-0321,11/4/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0323,11/4/2020,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0324,11/6/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0327,11/7/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Good,Rainy Conditions - Light,2,1
FTN2020-0325,11/7/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,2,2
FTN2020-0326,11/7/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,4
FTN2020-0328,11/8/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0329,11/9/2020,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0330,11/10/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,3
FTN2020-0331,11/10/2020,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,1,3
FTN2020-0333,11/11/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0332,11/11/2020,FOB - Field Operations Bureau,7th District,D.I.U.,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Other,1,1
FTN2020-0335,11/13/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Other,Poor,Clear Conditions,1,1
FTN2020-0334,11/14/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2
FTN2020-0336,11/15/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,3
FTN2020-0337,11/16/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0338,11/17/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0339,11/19/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0340,11/22/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,1,2
FTN2020-0341,11/24/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0342,11/26/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Other,1,1
FTN2020-0344,11/27/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0343,11/27/2020,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Other,1,1
FTN2020-0345,11/28/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Rainy Conditions - Light,1,1
FTN2020-0347,11/29/2020,FOB - Field Operations Bureau,6th District,D.I.U.,Persons,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Other,Good,Clear Conditions,1,1
FTN2020-0346,11/29/2020,FOB - Field Operations Bureau,3rd District,Tactical Section,Admin,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Poor,Rainy Conditions - Medium,1,1
FTN2020-0349,12/3/2020,FOB - Field Operations Bureau,7th District,D.I.U.,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,1,1
FTN2020-0348,12/3/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0350,12/4/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Unknown,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,1,2
FTN2020-0351,12/4/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Marine and Bomb Unit,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,3
FTN2020-0352,12/5/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2020-0356,12/6/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,1,1
FTN2020-0353,12/6/2020,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0359,12/7/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0354,12/7/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0355,12/7/2020,FOB - Field Operations Bureau,6th District,K9 Section,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,2
FTN2020-0362,12/8/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,6
FTN2020-0363,12/8/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0361,12/8/2020,FOB - Field Operations Bureau,8th District,D.I.U.,Property,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,2
FTN2020-0358,12/8/2020,FOB - Field Operations Bureau,Traffic Division,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2
FTN2020-0360,12/8/2020,FOB - Field Operations Bureau,5th District,A Platoon,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0364,12/12/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,3
FTN2020-0365,12/12/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,4
FTN2020-0389,12/13/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2020-0368,12/13/2020,FOB - Field Operations Bureau,Special Operations Division,Unknown,Unknown,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0367,12/13/2020,FOB - Field Operations Bureau,Special Operations Division,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,3
FTN2020-0369,12/14/2020,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,2
FTN2020-0366,12/14/2020,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0370,12/16/2020,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,3,2
FTN2020-0371,12/18/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,4
FTN2020-0373,12/19/2020,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Poor,Clear Conditions,1,7
FTN2020-0372,12/19/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2020-0376,12/20/2020,FOB - Field Operations Bureau,4th District,Task Force,A,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1
FTN2020-0374,12/20/2020,FOB - Field Operations Bureau,7th District,Unknown,Unknown,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0375,12/20/2020,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,4
FTN2020-0378,12/22/2020,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2020-0379,12/22/2020,FOB - Field Operations Bureau,6th District,K9 Section,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1
FTN2020-0377,12/22/2020,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,3,2
FTN2020-0381,12/24/2020,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0382,12/24/2020,FOB - Field Operations Bureau,5th District,Investigations,Unknown,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0380,12/24/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2020-0383,12/25/2020,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,1,2
FTN2020-0385,12/26/2020,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2020-0384,12/26/2020,FOB - Field Operations Bureau,1st District,Unknown,Patrol,Paid Detail,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,4
FTN2020-0386,12/27/2020,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,1,2
FTN2020-0387,12/28/2020,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,2
FTN2020-0388,12/29/2020,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,2
FTN2021-0003,1/1/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,3
FTN2021-0004,1/1/2021,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0002,1/1/2021,FOB - Field Operations Bureau,2nd District,K9 Section,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,3
FTN2021-0001,1/1/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,3
FTN2021-0005,1/4/2021,FOB - Field Operations Bureau,Special Operations Division,A Platoon,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,1,3
FTN2021-0007,1/7/2021,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Light,2,1
FTN2021-0008,1/7/2021,FOB - Field Operations Bureau,Special Operations Division,C Platoon,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1
FTN2021-0009,1/10/2021,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,2
FTN2021-0010,1/13/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0012,1/19/2021,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1
FTN2021-0011,1/19/2021,ISB - Investigation and Support Bureau,Special Investigations Division,Narcotics Section,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1
FTN2021-0013,1/24/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,2
FTN2021-0014,1/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0015,1/26/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2021-0016,1/27/2021,FOB - Field Operations Bureau,2nd District,D.I.U.,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2021-0017,1/27/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0018,1/28/2021,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0020,1/29/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0019,1/30/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0022,1/31/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0021,1/31/2021,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2021-0023,2/1/2021,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Other,Unknown,Clear Conditions,1,5
FTN2021-0024,2/2/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,4
FTN2021-0026,2/3/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2018-0404,11/1/2018,FOB - Field Operations Bureau,3rd District,B Platoon,Unknown,Unknown,Unknown,Completed,UOF Justified,Call for Service,Good,Clear Conditions,4,1
FTN2021-0028,2/4/2021,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,3
FTN2021-0031,2/4/2021,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0029,2/4/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Training,Traffic Stop,Good,Clear Conditions,1,1
FTN2021-0030,2/4/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Resigned,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,2
FTN2021-0033,2/5/2021,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,2,1
FTN2021-0032,2/5/2021,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,1,2
FTN2021-0034,2/5/2021,FOB - Field Operations Bureau,8th District,B Platoon,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2021-0035,2/6/2021,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0036,2/7/2021,FOB - Field Operations Bureau,8th District,Unknown,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,3
FTN2021-0039,2/8/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,2
FTN2021-0038,2/8/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0037,2/8/2021,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,8
FTN2021-0040,2/9/2021,FOB - Field Operations Bureau,6th District,D.I.U.,Unknown,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2018-0447,12/5/2018,FOB - Field Operations Bureau,8th District,Narcotics,Unknown,Unknown,Unknown,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2019-0001,12/31/2018,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Unknown,Unknown,Completed,UOF Not Justified,Arresting,Good,Other,1,1
FTN2021-0043,2/11/2021,FOB - Field Operations Bureau,1st District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0044,2/11/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Other,1,1
FTN2021-0045,2/12/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0046,2/13/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,9
FTN2021-0047,2/14/2021,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,2
FTN2021-0048,2/14/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2021-0091,2/15/2021,FOB - Field Operations Bureau,7th District,A Platoon,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Not Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2021-0049,2/16/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,5
FTN2021-0050,2/17/2021,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0051,2/18/2021,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2021-0052,2/18/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0053,2/19/2021,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,4
FTN2021-0054,2/20/2021,FOB - Field Operations Bureau,8th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Other,1,2
FTN2019-0018,1/12/2019,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Unknown,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0056,2/22/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2
FTN2021-0057,2/22/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,4
FTN2021-0058,2/24/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2021-0059,2/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,2
FTN2021-0061,2/25/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0060,2/25/2021,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2
FTN2021-0062,2/27/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0063,2/27/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0065,2/28/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,5
FTN2021-0064,2/28/2021,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2021-0066,3/1/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2
FTN2021-0067,3/1/2021,FOB - Field Operations Bureau,6th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2021-0068,3/3/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,6
FTN2021-0069,3/3/2021,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2021-0071,3/3/2021,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1
FTN2021-0070,3/4/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,6
FTN2021-0072,3/8/2021,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,4,5
FTN2021-0073,3/10/2021,FOB - Field Operations Bureau,Alternative Police Response,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Not Justified,Traffic Stop,Good,Clear Conditions,1,3
FTN2021-0074,3/11/2021,FOB - Field Operations Bureau,6th District,K9 Section,Unknown,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,1,1
